    Graph g(4);
    g.addEdge(0, 1);
    g.addEdge(0, 2);
    g.addEdge(1, 2);
    g.addEdge(2, 0);
    g.addEdge(2, 3);
    g.addEdge(3, 3);

1000 10000 1
1 2
1 3
1 4
2 4
3 4
1 2
1 3
1 4
2 4
3 4
1 2
1 3
1 4
2 4
3 4
1 2
1 3
1 4
2 4
3 4
1 2
1 3
1 4
2 4
3 4
1 2
1 3
1 4
2 4
3 4
1 2
1 3
1 4
2 4
3 4
1 2
1 3
1 4
2 4
3 4
1 2
1 3
1 4
2 4
3 4
1 2
1 3
1 4
2 4
3 4
1 2
1 3
1 4
2 4
3 4
1 2
1 3
1 4
2 4
3 4
1 2
1 3
1 4
2 4
3 4
1 2
1 3
1 4
2 4
3 4
1 2
1 3
1 4
2 4
3 4
1 2
1 3
1 4
2 4
3 4
1 2
1 3
1 4
2 4
3 4
1 2
1 3
1 4
2 4
3 4
1 2
1 3
1 4
2 4
3 4
1 2
1 3
1 4
2 4
3 4
1 2
1 3
1 4
2 4
3 4
1 2
1 3
1 4
2 4
3 4
1 2
1 3
1 4
2 4
3 4
1 2
1 3
1 4
2 4
3 4
1 2
1 3
1 4
2 4
3 4
1 2
1 3
1 4
2 4
3 4
1 2
1 3
1 4
2 4
3 4
1 2
1 3
1 4
2 4
3 4
1 2
1 3
1 4
2 4
3 4
1 2
1 3
1 4
2 4
3 4
1 2
1 3
1 4
2 4
3 4
1 2
1 3
1 4
2 4
3 4
1 2
1 3
1 4
2 4
3 4
1 2
1 3
1 4
2 4
3 4
1 2
1 3
1 4
2 4
3 4
1 2
1 3
1 4
2 4
3 4
1 2
1 3
1 4
2 4
3 4
1 2
1 3
1 4
2 4
3 4
1 2
1 3
1 4
2 4
3 4
1 2
1 3
1 4
2 4
3 4
1 2
1 3
1 4
2 4
3 4
1 2
1 3
1 4
2 4
3 4
1 2
1 3
1 4
2 4
3 4
1 2
1 3
1 4
2 4
3 4
1 2
1 3
1 4
2 4
3 4
1 2
1 3
1 4
2 4
3 4
1 2
1 3
1 4
2 4
3 4
1 2
1 3
1 4
2 4
3 4
1 2
1 3
1 4
2 4
3 4
1 2
1 3
1 4
2 4
3 4
1 2
1 3
1 4
2 4
3 4
1 2
1 3
1 4
2 4
3 4
1 2
1 3
1 4
2 4
3 4
1 2
1 3
1 4
2 4
3 4
1 2
1 3
1 4
2 4
3 4
1 2
1 3
1 4
2 4
3 4
1 2
1 3
1 4
2 4
3 4
1 2
1 3
1 4
2 4
3 4
1 2
1 3
1 4
2 4
3 4
1 2
1 3
1 4
2 4
3 4
1 2
1 3
1 4
2 4
3 4
1 2
1 3
1 4
2 4
3 4
1 2
1 3
1 4
2 4
3 4
1 2
1 3
1 4
2 4
3 4
1 2
1 3
1 4
2 4
3 4
1 2
1 3
1 4
2 4
3 4
1 2
1 3
1 4
2 4
3 4
1 2
1 3
1 4
2 4
3 4
1 2
1 3
1 4
2 4
3 4
1 2
1 3
1 4
2 4
3 4
1 2
1 3
1 4
2 4
3 4
1 2
1 3
1 4
2 4
3 4
1 2
1 3
1 4
2 4
3 4
1 2
1 3
1 4
2 4
3 4
1 2
1 3
1 4
2 4
3 4
1 2
1 3
1 4
2 4
3 4
1 2
1 3
1 4
2 4
3 4
1 2
1 3
1 4
2 4
3 4
1 2
1 3
1 4
2 4
3 4
1 2
1 3
1 4
2 4
3 4
1 2
1 3
1 4
2 4
3 4
1 2
1 3
1 4
2 4
3 4
1 2
1 3
1 4
2 4
3 4
1 2
1 3
1 4
2 4
3 4
1 2
1 3
1 4
2 4
3 4
1 2
1 3
1 4
2 4
3 4
1 2
1 3
1 4
2 4
3 4
1 2
1 3
1 4
2 4
3 4
1 2
1 3
1 4
2 4
3 4
1 2
1 3
1 4
2 4
3 4
1 2
1 3
1 4
2 4
3 4
1 2
1 3
1 4
2 4
3 4
1 2
1 3
1 4
2 4
3 4
1 2
1 3
1 4
2 4
3 4
1 2
1 3
1 4
2 4
3 4
1 2
1 3
1 4
2 4
3 4
1 2
1 3
1 4
2 4
3 4
1 2
1 3
1 4
2 4
3 4
1 2
1 3
1 4
2 4
3 4
1 2
1 3
1 4
2 4
3 4
1 2
1 3
1 4
2 4
3 4
1 2
1 3
1 4
2 4
3 4
1 2
1 3
1 4
2 4
3 4
1 2
1 3
1 4
2 4
3 4
1 2
1 3
1 4
2 4
3 4
1 2
1 3
1 4
2 4
3 4
1 2
1 3
1 4
2 4
3 4
1 2
1 3
1 4
2 4
3 4
1 2
1 3
1 4
2 4
3 4
1 2
1 3
1 4
2 4
3 4
1 2
1 3
1 4
2 4
3 4
1 2
1 3
1 4
2 4
3 4
1 2
1 3
1 4
2 4
3 4
1 2
1 3
1 4
2 4
3 4
1 2
1 3
1 4
2 4
3 4
1 2
1 3
1 4
2 4
3 4
1 2
1 3
1 4
2 4
3 4
1 2
1 3
1 4
2 4
3 4
1 2
1 3
1 4
2 4
3 4
1 2
1 3
1 4
2 4
3 4
1 2
1 3
1 4
2 4
3 4
1 2
1 3
1 4
2 4
3 4
1 2
1 3
1 4
2 4
3 4
1 2
1 3
1 4
2 4
3 4
1 2
1 3
1 4
2 4
3 4
1 2
1 3
1 4
2 4
3 4
1 2
1 3
1 4
2 4
3 4
1 2
1 3
1 4
2 4
3 4
1 2
1 3
1 4
2 4
3 4
1 2
1 3
1 4
2 4
3 4
1 2
1 3
1 4
2 4
3 4
1 2
1 3
1 4
2 4
3 4
1 2
1 3
1 4
2 4
3 4
1 2
1 3
1 4
2 4
3 4
1 2
1 3
1 4
2 4
3 4
1 2
1 3
1 4
2 4
3 4
1 2
1 3
1 4
2 4
3 4
1 2
1 3
1 4
2 4
3 4
1 2
1 3
1 4
2 4
3 4
1 2
1 3
1 4
2 4
3 4
1 2
1 3
1 4
2 4
3 4
1 2
1 3
1 4
2 4
3 4
1 2
1 3
1 4
2 4
3 4
1 2
1 3
1 4
2 4
3 4
1 2
1 3
1 4
2 4
3 4
1 2
1 3
1 4
2 4
3 4
1 2
1 3
1 4
2 4
3 4
1 2
1 3
1 4
2 4
3 4
1 2
1 3
1 4
2 4
3 4
1 2
1 3
1 4
2 4
3 4
1 2
1 3
1 4
2 4
3 4
1 2
1 3
1 4
2 4
3 4
1 2
1 3
1 4
2 4
3 4
1 2
1 3
1 4
2 4
3 4
1 2
1 3
1 4
2 4
3 4
1 2
1 3
1 4
2 4
3 4
1 2
1 3
1 4
2 4
3 4
1 2
1 3
1 4
2 4
3 4
1 2
1 3
1 4
2 4
3 4
1 2
1 3
1 4
2 4
3 4
1 2
1 3
1 4
2 4
3 4
1 2
1 3
1 4
2 4
3 4
1 2
1 3
1 4
2 4
3 4
1 2
1 3
1 4
2 4
3 4
1 2
1 3
1 4
2 4
3 4
1 2
1 3
1 4
2 4
3 4
1 2
1 3
1 4
2 4
3 4
1 2
1 3
1 4
2 4
3 4
1 2
1 3
1 4
2 4
3 4
1 2
1 3
1 4
2 4
3 4
1 2
1 3
1 4
2 4
3 4
1 2
1 3
1 4
2 4
3 4
1 2
1 3
1 4
2 4
3 4
1 2
1 3
1 4
2 4
3 4
1 2
1 3
1 4
2 4
3 4
1 2
1 3
1 4
2 4
3 4
1 2
1 3
1 4
2 4
3 4
1 2
1 3
1 4
2 4
3 4
1 2
1 3
1 4
2 4
3 4
1 2
1 3
1 4
2 4
3 4
1 2
1 3
1 4
2 4
3 4
1 2
1 3
1 4
2 4
3 4
1 2
1 3
1 4
2 4
3 4
1 2
1 3
1 4
2 4
3 4
1 2
1 3
1 4
2 4
3 4
1 2
1 3
1 4
2 4
3 4
1 2
1 3
1 4
2 4
3 4
1 2
1 3
1 4
2 4
3 4
1 2
1 3
1 4
2 4
3 4
1 2
1 3
1 4
2 4
3 4
1 2
1 3
1 4
2 4
